Timestamp,Age,Ethnicity,household_income_yearly,first_notice_ai_in_workforce,ai_is_important_daily,ai_helps_life,ai_replace_human,,ai_minimize_hire,,work_and_school,Job Categories,sciences
2/20/2022 13:30:29,20,Asian,"$125,000-$149,999",5 years ago,5,5,4,,1,,"Sciences (social, psychological, physical, computer)",,
2/21/2022 19:09:34,33,Asian,"$30,000-$39,999",never,1,1,1,,2,,Government/Law,,
2/21/2022 19:09:54,20,Spanish origin,"$50,000-$59,999",5 years ago,1,4,3,,1,,"Sciences (social, psychological, physical, computer)",,
2/21/2022 19:10:12,19,Asian,"less than $5,000",5 years ago,2,4,3,,3,,"Sciences (social, psychological, physical, computer)",,
2/21/2022 19:11:07,23,White,"$60,000-$74,999",5 years ago,3,4,4,,2,,Business,,
2/21/2022 19:11:40,19,Asian,"$125,000-$149,999",5 years ago,3,5,5,,1,,"Sciences (social, psychological, physical, computer)",,
2/21/2022 19:18:34,20,Asian,"$40,000-$49,999",5 years ago,3,5,5,,1,,Hospitality/Services,,
2/21/2022 19:30:44,18,Asian,"$100,000-$124,999",5 years ago,3,2,1,,2,,Unemployed/not a student,,
2/21/2022 19:49:12,31,White,"$50,000-$59,999",5 years ago,3,3,2,,3,,Education,,
2/27/2022 1:31:51,21,Hispanic ,"$10,000-$14,999",5 years ago,5,3,3,,1,,Hospitality/Services,,
2/27/2022 4:20:06,19,Spanish origin,"$30,000-$39,999",5 years ago,5,4,4,,2,,Work and School,,
2/27/2022 12:45:26,20,South Asian ,"$50,000-$59,999",5 years ago,1,3,3,,2,,Business,,
2/28/2022 11:17:46,20,Spanish origin,"$10,000-$14,999",10 years ago,5,4,3,,1,,"Sciences (social, psychological, physical, computer)",,
2/28/2022 13:15:11,18,African-American/Black,"less than $5,000",never,1,1,1,,1,,Unemployed/not a student,,
2/28/2022 13:59:29,22,Spanish origin,"$30,000-$39,999",5 years ago,3,4,5,,1,,"Sciences (social, psychological, physical, computer)",,
2/28/2022 14:49:11,21,Spanish origin,"less than $5,000",10 years ago,3,4,3,,3,,Government/Law,,
2/28/2022 14:49:53,21,Spanish origin,"less than $5,000",1 year ago,3,3,3,,2,,Government/Law,,
2/28/2022 16:08:26,20,"White, Spanish origin","less than $5,000",5 years ago,3,3,4,,1,,"Sciences (social, psychological, physical, computer)",,
3/1/2022 4:20:38,21,Spanish origin,"$5,000-$9,999",1 year ago,2,3,4,,1,,Unemployed/not a student,,
3/1/2022 12:44:43,20,Amerindian/Alaska Native,"$5,000-$9,999",5 years ago,2,3,4,,2,,Government/Law,,
3/1/2022 12:45:59,19,Spanish origin,"$30,000-$39,999",1 year ago,4,4,5,,1,,Business,,
3/1/2022 12:56:34,23,African-American/Black,"$30,000-$39,999",15 or more years ago,5,5,5,,1,,Hospitality/Services,,
3/1/2022 13:25:57,21,Asian,"$75,000-$99,999",1 year ago,4,4,2,,3,,Business,,
3/2/2022 10:06:27,19,Spanish origin,"$15,000-$19,999",5 years ago,3,4,3,,1,,Government/Law,,
