Long,Lat,globalid,CreationDa,Creator,EditDate,Editor,current_st,species,height,canopy_spr,canopy_s_1,canopy_cov,staining,diameter_b,multiple_d,multidbh_e,d_holes,tree_tag,comment_1,comments_2
-118.4101161,34.62477508,756db2a9-a897-40a6-b26c-691411b8c5d3,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,50,20,20,20,Yes,21.8,No,0,25,1914,,
-118.4101215,34.6248202,99421953-1c0d-4606-9f03-350c7beb845b,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,30,25,10,25,No,11.6,Yes,9.5,7,0,,
-118.4100212,34.6249319,0e5b758b-c10d-45bb-8185-c650026af18c,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,20,20,30,No,15.3,,0,0,0,,
-118.4100114,34.62492177,b63ef307-2485-42c1-a33a-8bdb51e816f7,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,45,35,30,35,No,17.4,No,0,0,0,,
-118.4099709,34.62491612,6cca8dbf-27cc-4886-8d76-a0d7b0c67054,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,50,35,40,45,No,28.3,,0,9,0,Multi trunk above dbh,
-118.4100004,34.62493752,db95f371-ab59-447d-b35e-a0a2a719b7d2,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,35,30,50,No,11.8,No,0,0,0,,
-118.4100333,34.62494882,88c3108d-6265-4e27-8f86-684952a8c81d,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,20,25,40,Yes,17.5,No,0,5,0,,
-118.4100124,34.62496513,4c1735a7-145d-47f8-8f86-adce1f7764eb,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,15,20,20,Yes,16.6,No,0,25,0,,
-118.4100059,34.62495605,24eb7cb1-99d2-410c-9edc-6aef86031b0f,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,50,30,35,35,Yes,28,No,0,50,1916,,
-118.410175,34.62496597,1d7eead1-a2a3-4310-b750-435222d51bd8,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,25,30,10,0,No,9.3,No,0,0,0,,
-118.4101863,34.62497762,9686e704-9632-48ce-973a-1b7e117eb1fc,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,40,50,45,65,No,32.8,No,0,25,0,,
-118.4102189,34.62503323,59bdcd67-1b93-45f0-8b52-8f6586904873,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,40,35,65,No,22,Yes,19,0,0,,
-118.4124647,34.62060347,7599810c-bec7-43d6-a34c-b04037b9203a,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,50,50,45,60,No,54.6,No,0,50,0,Sudden yellowing then went brown. Will monitor till October,"Why yellowing, watering? ; trimming good idea?"
-118.4124476,34.62061952,2770e73c-8b45-405b-bbe7-05b73aec8845,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,55,45,50,80,No,45,No,0,0,0,,
-118.4125569,34.62055649,7c82eb0a-0aea-43a4-845b-a53e118ea159,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,45,35,30,90,Yes,26.8,,0,0,0,,
-118.4126239,34.62071089,473430af-6244-46a0-af68-5ddf7db5fdf6,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,30,20,20,50,No,13.1,No,0,0,0,,
-118.4126477,34.62079609,c9e45829-c07f-40db-bedd-a7cb383a5f5f,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,23,30,70,No,20,No,0,0,0,,
-118.4126103,34.62082408,681293f4-0dc9-4a3d-9571-7aecfefaaf87,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,45,30,35,40,No,33,No,0,1,0,,
-118.4126384,34.62093141,3603b7e4-418b-46a9-aa1b-0f03c36cd2cc,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,30,20,25,70,No,25,Yes,0,0,0,,
-118.4124849,34.62087865,797e5573-fc84-42af-9bde-75f9e1d57766,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,35,30,90,Yes,33,No,0,0,0,,
-118.4123923,34.62093208,62e88dab-02ba-4591-8a96-377393e9f0d1,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,45,35,30,90,No,27.2,No,0,3,0,,
-118.4123599,34.6207256,0234d49a-dbab-481f-8241-16b78cf40b96,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,35,30,20,90,No,12.9,No,0,0,0,Holes larger than gob n round. No d holes,
-118.4120208,34.62079529,b4188f23-e5bf-47d6-a7bf-9109b685c4b7,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,20,20,20,65,No,9,Yes,0,3,0,,
-118.3973472,34.61128221,27296e17-3ce1-4b2b-9a3f-6da1594f646c,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,,35,30,35,85,No,23.1,No,0,6,0,,
-118.3973274,34.61144918,ee859f5e-6d17-4b24-89bb-3fdc005e6888,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,40,35,80,No,25.3,Yes,15.4,4,0,,
-118.3972983,34.6114752,d804c083-d031-4c03-83f5-a24db598a026,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,40,30,20,50,No,25.4,No,0,6,0,,
-118.3972054,34.61144268,722d6fbe-bde6-477b-ab40-defe04c5ac9a,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,20,15,15,40,No,13,No,0,10,0,,
-118.3972471,34.61137311,1a5ce204-6aa3-4454-9fac-8d8074735761,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,45,45,40,40,,23.1,,19.7,20,0,5 trunks,D holes over all trunks
-118.3972047,34.61131448,fdb71a42-6081-4636-9013-247d12cfb229,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,34,30,35,0,No,14,Yes,10.6,100,1947,Bark peeling off,D holes over all 3 truck
-118.3971435,34.61137831,073da742-b77b-4a35-b0a5-45ed0f2fed97,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,25,10,10,25,No,10.2,No,0,0,0,,
-118.3970826,34.6113413,b323a4b5-83aa-48e4-8ac5-1b7c5795a4a7,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,20,10,15,20,No,12.5,No,0,1,0,,
-118.3971056,34.61132714,39533101-6314-4cc5-8b0d-8b935d56c410,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,25,30,35,Yes,21,,0,37,0,,
-118.3971533,34.61132186,bde13ef3-892c-45d5-aa08-d1f5afa38628,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,25,10,15,10,Yes,13.3,Yes,10.1,7,0,Smaller trees is ok. Has 1 d hole,Dying canopy of larger trunk
-118.3971275,34.61126536,c3a5d51c-57f4-41d0-a549-4c17f3ff79fa,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,45,45,50,20,No,28.4,Yes,20.2,100,1948,Remove only one trunk,"Bark peeling off. Smaller tree canopy dead, larger trunk I’m decline"
-118.3970593,34.61133853,7edb5626-69eb-4701-9b73-22d0a0365a1a,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,15,20,30,Yes,13.1,No,0,0,0,,
-118.3972414,34.61120652,f2795336-f918-4bdf-89c3-6f0b0a7fc58a,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,50,55,50,75,No,25.5,Yes,18,7,0,3 trunks,
-118.4142832,34.61927687,15e6523e-f7e0-449a-aa32-25d215cc3cef,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,55,40,30,60,No,23.5,No,0,0,0,,
-118.4143266,34.61932959,98aaf899-8f0a-4bf9-aabf-c83873c498de,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,50,50,45,50,No,28.1,Yes,23,0,0,Homeowner not home. Did not inspect back. 1 tree in back n 2 on side yard. Looks ok maybe to be monitored,
-118.3973111,34.61169296,fe0a0f51-78e6-4d24-830d-6c2de2561616,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,40,30,20,10,No,20,No,0,100,1942,Bark chipping off,
-118.3970859,34.61147343,54d66713-12ae-433c-a349-e36834da38a0,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,40,25,20,10,No,17,Yes,15,100,1943,Bark chipping off.,
-118.4056039,34.61647673,da31e007-759a-484c-b030-15b3b75293d9,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,55,40,50,85,Yes,0,No,0,10,0,,
-118.4176123,34.6184756,fd79d2fb-68af-4012-87ea-06b6ea7c2b7e,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-11-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,35,30,20,10,Yes,21,No,0,100,1931,Wants removed,
-118.4176851,34.61861667,6c576319-7f54-41b5-8d50-b33a5d6943e7,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,30,35,75,No,18.6,Yes,15.1,8,0,,
-118.4174706,34.61864982,fde123ef-c883-4a41-b750-319b57433fff,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,30,20,25,50,Yes,13.2,Yes,0,25,1933,Limb only,Bark chipping away
-118.394982,34.61156791,a902198b-43d7-4f99-a2f0-e428d424d14c,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,30,15,10,25,No,14,Yes,0,15,1954,Bark chipping away. Own we would like to removed.,
-118.3955321,34.61139775,28557d25-8bc1-4928-ac7d-2eab15bea90b,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-20 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,35,40,35,30,Yes,13.6,Yes,14.5,20,1952,One truck,possibleremoval of trees at driveway
-118.3963597,34.61321026,1c6686cc-9dd0-4daf-a1b3-ee89b23bbc73,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,50,40,40,30,Yes,19,Yes,0,0,0,"Chipping bark, dripping limbs",
-118.3963737,34.61317321,c98ba7d7-4f2f-499d-a2fb-f2e6fe45cace,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-16 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,0,0,0,0,,0,,0,0,0,Same as other tree,
-118.3965592,34.61341226,4570b5eb-8efa-4121-a572-75618454b043,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,25,15,10,15,Yes,13,No,0,25,1920,Chipping bark,
-118.396476,34.61334147,61a94365-5823-4221-9e58-9a16dda9eafa,2021-09-13 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,30,20,15,15,Yes,12,No,0,10,1921,Chipping bark,
-118.4046863,34.62587743,3b5b0164-9324-4cbc-9704-8771ee5e0644,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,35,50,45,85,No,15,Yes,0,0,0,Neighbor was concerned about root exposure n squirrel activity,5 tuncks
-118.4116963,34.62313309,96cca524-3c71-4bd1-b8c8-285024c930ed,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-27 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,30,15,10,0,No,0,No,0,100,0,"In power lines/ utility lines , in fenced yard",
-118.4115951,34.62395307,b77ee22b-e6b4-4b48-9dab-a08a60f2b25c,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,50,40,45,75,No,38.2,No,0,25,0,Monitor,
-118.4115123,34.62386542,7a731a61-98ec-4ec7-9512-eadd52c3d0a0,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-27 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,40,15,15,20,Yes,13.1,No,0,15,1964,,
-118.4114527,34.62384042,b41a54fd-02a6-4092-b457-45522aabcd99,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-27 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,45,30,35,60,Yes,21.9,Yes,14.9,25,1963,Remove one limb,
-118.4115261,34.62383243,2d73fe5b-e1f8-458a-8f6f-82a6ac0096c6,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,45,45,50,70,No,29.4,No,0,20,0,Monitor,
-118.4112601,34.62367008,9033d5b6-4d41-4ba6-aad7-f890a5444daa,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,20,20,25,35,No,19.8,Yes,13.5,5,0,,
-118.4112705,34.62364592,59ee010a-07bf-4acb-a5dc-99384f3564ba,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,20,15,20,25,No,13.2,Yes,11.1,3,0,,
-118.4112579,34.62363085,5d6d0e3d-ec3a-4b58-8cf5-59255cc67261,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,30,20,25,40,No,11.8,Yes,11.5,9,0,,
-118.3970591,34.61295907,06f5fba2-308d-4687-b473-ca3dbfdeb0f7,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,50,55,60,100,No,27.8,No,0,0,0,,
-118.3968704,34.61314535,0ffd41d7-96fd-44dd-ab66-030b3da52da0,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,55,40,35,60,No,38.1,No,0,5,0,Large cavity,
-118.3969137,34.61323892,52ddcd0c-2bc5-4e9e-8399-415aa53e1a90,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-16 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,35,55,35,40,Yes,18.3,Yes,16.2,0,0,Recommend dead wooding,
-118.3969436,34.61325077,106eff74-18a3-486e-bdcc-04cfab6dc371,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,25,20,30,30,Yes,17.5,Yes,15.1,3,0,Recommend dead wooding,
-118.3968505,34.61320747,65ed3b8f-adf8-4b2f-b672-470c33cc2a11,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,30,15,20,30,Yes,16.4,No,0,17,1923,Could be removed. Definite decline,Bark chipping
-118.3968087,34.6131761,7e50acd5-3d64-40a7-93c3-a3037f2c8ac0,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,45,20,20,0,No,20.9,,0,100,1924,,
-118.3965288,34.6130094,602bcde4-7b06-46dc-b597-3f740e553478,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,45,35,40,50,No,20.8,No,0,1,0,,
-118.396703,34.6129456,5ecb8367-ba38-4599-a395-789a04eed0da,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,35,30,25,35,No,21.9,,0,0,0,,
-118.3966908,34.61292607,70e2f9c4-a34c-448d-9b2d-2ea230e599b4,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,20,25,35,No,16.4,,0,0,0,4 trunck,
-118.3966626,34.61292197,9950db76-c401-44a0-bedc-c3ed36c35c80,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,15,20,20,Yes,24,,0,7,0,,
-118.3966594,34.61293315,7312e00e-bd61-45a8-a4b9-5f6adf6c7d4a,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-16 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,30,20,15,30,No,17.5,,0,0,0,,
-118.3966731,34.612918,be713eeb-4749-492e-a60a-e55efac812b4,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-15 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,25,15,20,25,,8,No,0,0,0,,
